#{"t_start": 1745003421.713812, "env_id": "MsPacmanNoFrameskip-v4"}
r,l,t
380.0,1881,17.545673
310.0,1897,22.46921
370.0,2169,28.111248
420.0,3169,36.145801
970.0,2993,43.71867
580.0,2897,51.143893
390.0,2577,57.59384
210.0,1753,61.98363
520.0,3361,70.488407
700.0,2337,76.446191
420.0,3105,84.176812
1210.0,3289,92.618784
710.0,2537,98.970015
910.0,2561,105.639687
400.0,2713,112.740302
380.0,2497,119.015379
360.0,2753,125.74312
400.0,1777,130.139579
210.0,2185,135.588053
310.0,2169,141.021645
370.0,2473,147.267596
210.0,1657,151.366436
990.0,2489,157.673959
400.0,1625,161.581571
480.0,2585,168.061508
120.0,1137,170.803587
250.0,1497,174.65823
290.0,2033,179.770007
950.0,3417,188.314967
270.0,1889,192.942035
220.0,1753,197.292276
560.0,2609,203.900027
270.0,1873,208.547271
490.0,3625,217.693567
360.0,1921,222.562019
220.0,1681,226.692859
370.0,2273,232.344518
580.0,2385,238.349426
830.0,3105,246.073954
620.0,2657,252.78279
160.0,1785,257.241659
1200.0,3073,264.885216
500.0,2193,270.543364
600.0,2249,276.167622
930.0,3017,283.857946
340.0,1961,288.863767
230.0,1633,292.918172
340.0,2017,298.030072
480.0,2785,305.096133
670.0,2609,311.741881
800.0,2769,318.626239
720.0,3097,326.479452
1140.0,2649,333.105238
400.0,1633,337.133096
870.0,3377,345.804825
800.0,3017,353.617686
280.0,2697,360.636559
310.0,1961,365.598298
710.0,2337,371.525669
230.0,1793,376.040043
740.0,2641,382.721265
490.0,1961,387.570677
540.0,2105,392.948433
140.0,1737,397.323914
530.0,2393,403.405227
1000.0,2457,409.581307
400.0,2041,414.849535
230.0,1601,418.881044
630.0,2697,425.657483
930.0,3281,434.008404
280.0,2121,439.559768
1610.0,2881,447.108478
420.0,1993,452.138466
380.0,1657,456.232122
740.0,3169,464.245441
700.0,2505,470.560396
420.0,2401,476.625897
1000.0,2529,483.001504
510.0,2385,489.00303
320.0,1897,493.849329
1170.0,3945,504.162276
970.0,3721,513.652893
1240.0,2617,520.375628
680.0,2313,526.235419
410.0,3025,533.900806
1100.0,2809,541.111954
770.0,4097,551.328362
570.0,1977,556.307296
400.0,2313,562.065455
1670.0,2161,567.474946
470.0,1993,572.557535
640.0,2017,577.668092
580.0,2377,583.717194
220.0,1585,587.697926
570.0,2513,594.10591
550.0,2673,600.977284
770.0,3281,609.227332
640.0,2721,615.965533
1000.0,2481,622.15741
780.0,3065,630.030421
780.0,2305,635.76658
360.0,2233,641.392001
1390.0,4153,651.986405
730.0,3049,659.68946
710.0,2553,666.166196
690.0,2881,673.50068
390.0,2121,678.707919
