#{"t_start": 1745003421.7714872, "env_id": "MsPacmanNoFrameskip-v4"}
r,l,t
830.0,2593,1629.272543
820.0,2353,1635.14031
250.0,1529,1639.001293
1070.0,2569,1645.437592
760.0,3017,1653.150359
190.0,1649,1657.283215
610.0,2465,1663.547487
270.0,1937,1668.448586
420.0,1721,1672.658648
680.0,2801,1679.632931
390.0,2353,1685.551505
380.0,1809,1689.974978
670.0,2385,1695.961267
460.0,2537,1702.416327
990.0,3241,1710.656034
730.0,2265,1716.352696
620.0,2185,1721.927584
1090.0,3025,1729.508907
1130.0,3265,1737.669199
680.0,3033,1745.471363
1320.0,2681,1752.227934
620.0,2065,1757.426644
1030.0,2625,1764.144249
1190.0,2641,1770.937691
1200.0,3273,1779.168494
450.0,2465,1785.355067
740.0,2873,1792.572355
470.0,1977,1797.51128
790.0,3081,1805.263477
700.0,2977,1812.838799
280.0,1457,1816.460327
190.0,1729,1820.746958
460.0,2353,1826.692619
530.0,1649,1830.746418
670.0,3353,1839.163475
1490.0,3313,1847.504102
400.0,1881,1852.27951
760.0,2401,1858.45687
740.0,2353,1864.344227
1190.0,2537,1870.718727
450.0,1929,1875.600536
350.0,2609,1882.208241
710.0,2361,1888.089486
370.0,1633,1892.191703
450.0,2369,1898.12372
530.0,2705,1904.949947
450.0,2689,1911.756251
610.0,2737,1918.639619
960.0,2169,1924.080957
380.0,2097,1929.311335
550.0,1857,1933.980203
600.0,2281,1939.754452
1880.0,4417,1950.939817
630.0,2457,1957.122129
650.0,2801,1964.19678
570.0,2337,1970.216993
1640.0,3025,1977.748749
380.0,1689,1981.977849
1290.0,3961,1991.889428
490.0,1761,1996.331094
860.0,2761,2003.366579
370.0,2009,2008.468598
740.0,2609,2015.155283
540.0,2953,2022.64289
2070.0,4465,2033.839584
2190.0,3865,2043.652235
460.0,2497,2049.925149
900.0,3209,2058.101994
1080.0,3161,2066.292262
990.0,3233,2074.400746
390.0,2193,2079.952225
410.0,2049,2085.151116
890.0,3305,2093.487581
370.0,1953,2098.503084
1000.0,3233,2106.710031
750.0,3609,2115.723772
740.0,2561,2122.200972
660.0,3473,2130.971387
690.0,2081,2136.122517
520.0,2113,2141.437674
200.0,1233,2144.610205
350.0,1425,2148.191493
1200.0,4033,2158.579928
760.0,2649,2165.276802
910.0,2793,2172.300708
1490.0,3281,2180.640904
1130.0,4041,2190.924818
1240.0,3249,2199.206084
1020.0,2953,2206.643132
2130.0,2369,2212.56034
1510.0,3433,2221.266752
890.0,3129,2230.136913
780.0,3129,2247.720288
840.0,3137,2265.519678
1520.0,3305,2282.918082
460.0,2225,2294.368677
980.0,2961,2309.551761
960.0,3833,2329.129858
1440.0,3073,2345.084904
880.0,2377,2358.25037
760.0,2833,2374.17795
660.0,2849,2388.673797
450.0,2009,2398.718405
490.0,2001,2408.926713
1410.0,3609,2428.543194
500.0,2625,2443.048238
760.0,2737,2456.488193
780.0,2137,2462.337294
400.0,2385,2468.948214
2710.0,4409,2481.370795
530.0,2633,2488.790381
600.0,2033,2494.469895
480.0,2017,2500.075847
800.0,2817,2507.757049
860.0,3129,2516.34667
270.0,1705,2521.003754
880.0,3425,2530.454937
770.0,2681,2537.818361
830.0,2673,2545.319118
860.0,2729,2552.800266
480.0,1713,2557.552673
690.0,2449,2564.414339
370.0,2169,2570.452032
520.0,2569,2577.528968
1070.0,3153,2586.375122
940.0,3281,2595.348888
730.0,2449,2602.852381
280.0,1569,2607.246874
640.0,2745,2614.952052
360.0,1737,2619.727579
860.0,3265,2628.842874
1410.0,2937,2636.792973
1570.0,3185,2645.801422
390.0,1849,2650.881279
880.0,3169,2659.656775
830.0,2969,2667.865441
930.0,2769,2675.570941
330.0,1481,2679.737835
480.0,2273,2685.91047
380.0,1921,2691.424236
1040.0,2529,2698.261769
1120.0,3033,2706.643406
1460.0,2777,2714.431756
1160.0,3521,2724.383493
1220.0,5065,2738.534738
1050.0,3041,2747.013957
420.0,1593,2751.261727
780.0,2593,2758.857548
380.0,1345,2762.408718
410.0,1849,2767.547168
1790.0,3121,2776.388605
930.0,3137,2785.128816
3960.0,3425,2794.349298
550.0,2017,2800.018084
320.0,1297,2803.590491
380.0,2865,2811.558125
670.0,2329,2817.805868
410.0,2057,2823.427153
1060.0,2745,2831.160438
450.0,2065,2836.757449
610.0,2761,2844.489249
760.0,3897,2855.448963
460.0,1905,2860.78948
430.0,1897,2865.940674
370.0,1801,2870.942281
1410.0,3673,2881.096524
1230.0,3593,2891.122954
800.0,2417,2897.701267
940.0,2937,2906.18913
540.0,2385,2912.941465
1100.0,4129,2924.546385
1040.0,3281,2933.584424
830.0,2721,2940.981318
920.0,3145,2949.751296
900.0,3409,2959.18135
480.0,2105,2964.944633
2450.0,4849,2978.744615
520.0,1961,2984.089513
730.0,2673,2991.585081
830.0,2777,2999.457867
1550.0,3489,3009.097447
3090.0,3601,3019.529099
850.0,2561,3026.606722
820.0,2769,3034.255038
960.0,3145,3043.170549
1020.0,3001,3051.534935
1400.0,2769,3059.083612
870.0,2769,3066.958665
1520.0,3225,3075.889326
1450.0,3505,3085.517044
1210.0,3769,3096.327275
230.0,1185,3099.524781
430.0,1817,3104.537605
1040.0,2761,3112.507037
460.0,1833,3117.671978
170.0,1481,3121.743769
700.0,2137,3127.759681
880.0,2473,3134.549782
1290.0,3817,3145.017177
580.0,3137,3153.932489
2040.0,2633,3161.106569
270.0,1529,3165.251226
870.0,2641,3172.800252
520.0,1777,3177.62591
860.0,2497,3184.444371
670.0,3121,3193.319703
830.0,2225,3199.53156
1250.0,2401,3206.072448
410.0,1761,3211.038464
820.0,3097,3219.777283
620.0,2153,3225.66456
790.0,2873,3233.825161
640.0,2649,3241.286983
740.0,3737,3251.641698
560.0,2273,3258.267951
640.0,3129,3266.858962
1110.0,2729,3274.428027
550.0,1993,3280.178952
580.0,2481,3287.047689
240.0,1729,3291.795992
1550.0,2521,3298.773961
1320.0,2993,3307.071192
4720.0,3809,3317.663552
980.0,3425,3327.47478
520.0,2945,3335.580482
330.0,2225,3341.847526
1400.0,2425,3349.024203
430.0,1689,3353.787921
1230.0,3601,3363.816268
1390.0,4657,3377.10308
600.0,2153,3383.089405
490.0,1785,3388.007539
1230.0,3009,3396.648659
380.0,1793,3401.476597
590.0,2617,3408.50452
580.0,2385,3415.196758
450.0,1745,3420.291265
2160.0,3937,3431.244411
1110.0,3585,3441.164081
380.0,1713,3446.069257
620.0,2289,3452.460296
930.0,3049,3460.858159
770.0,2977,3469.292103
1010.0,3529,3479.051991
740.0,2641,3486.377756
940.0,4177,3498.201266
750.0,2665,3505.504264
1610.0,3089,3514.323665
830.0,2833,3522.269011
1860.0,3681,3532.386619
880.0,3145,3541.420521
410.0,1825,3546.348389
890.0,2217,3552.430221
890.0,2585,3559.872537
460.0,2025,3565.580968
1000.0,2529,3572.577852
2610.0,3561,3582.641465
1210.0,3113,3591.542439
620.0,2065,3597.160175
420.0,1489,3601.196007
1240.0,3113,3610.258051
1250.0,2705,3617.762682
880.0,2657,3625.070992
390.0,2009,3630.972226
550.0,1889,3636.250991
590.0,2505,3643.083486
310.0,1697,3647.745131
670.0,2473,3654.807405
1360.0,4137,3666.745541
890.0,3361,3676.206044
340.0,1497,3680.295848
1570.0,2457,3687.061089
650.0,2657,3694.696964
610.0,2113,3700.50292
530.0,2953,3708.566672
340.0,1625,3712.993046
560.0,2329,3719.639304
620.0,3137,3728.279722
570.0,2361,3734.686273
600.0,2689,3742.395555
1350.0,3017,3750.729178
770.0,3241,3759.868039
420.0,1521,3764.013258
650.0,2577,3771.196861
560.0,2673,3778.774878
780.0,2881,3786.899033
1030.0,2601,3794.121178
1550.0,3273,3803.563413
570.0,2169,3809.530726
920.0,2409,3816.106894
640.0,3089,3825.05433
800.0,2873,3833.128298
910.0,3089,3841.640805
1440.0,2833,3849.76792
230.0,1249,3853.24626
930.0,3121,3861.928201
600.0,3161,3871.064093
490.0,2625,3878.346157
1700.0,2225,3884.428579
210.0,1497,3888.743028
820.0,3137,3897.486095
390.0,2361,3904.025305
1120.0,2449,3911.041509
1310.0,4529,3923.608446
1500.0,3777,3934.30303
660.0,2369,3941.139464
1050.0,2169,3947.146104
1090.0,3049,3955.797415
1150.0,3545,3966.053486
1130.0,2625,3973.578101
670.0,2161,3979.489872
510.0,2529,3986.780825
500.0,2025,3992.440393
750.0,2209,3998.472503
