#{"t_start": 1745003421.598745, "env_id": "MsPacmanNoFrameskip-v4"}
r,l,t
770.0,3065,20.76979
250.0,1513,24.748738
470.0,2249,30.464688
320.0,2161,35.879839
570.0,2897,43.244929
490.0,3137,51.250666
590.0,2273,56.962885
680.0,3425,65.6144
630.0,2713,72.536147
460.0,2337,78.438539
660.0,2761,85.310375
310.0,2113,90.660935
150.0,1617,94.790206
420.0,3257,103.207694
540.0,2697,110.148122
1000.0,2241,115.924775
260.0,1889,120.637682
370.0,2193,126.032781
260.0,1969,130.962964
930.0,2953,138.411445
1410.0,3097,146.200117
180.0,1593,150.150052
730.0,2713,156.937974
200.0,1857,161.53007
620.0,2777,168.536711
180.0,1265,171.632265
250.0,1521,175.496897
380.0,2737,182.40188
550.0,2473,188.682613
730.0,2801,195.598648
280.0,1785,200.127724
590.0,2353,206.014852
330.0,2105,211.270557
860.0,3929,221.241773
720.0,3521,230.015696
990.0,2777,236.990129
410.0,2489,243.262629
430.0,2609,249.839668
320.0,1729,254.108189
360.0,2713,260.858104
950.0,2377,266.799853
500.0,1929,271.791381
420.0,2289,277.535397
430.0,2161,282.958096
480.0,2137,288.352783
1040.0,3025,295.955193
720.0,2953,303.502341
880.0,3161,311.566639
1290.0,3865,321.27378
790.0,2513,327.626431
210.0,1417,331.146094
320.0,2881,338.303783
1090.0,3649,347.682312
1300.0,3033,355.625901
710.0,3377,364.297453
290.0,1625,368.384698
700.0,3073,376.275712
260.0,1737,380.627544
230.0,1601,384.679607
780.0,2929,392.11366
220.0,1801,396.647851
1760.0,4889,409.022983
300.0,3009,416.744797
430.0,2697,423.576158
470.0,2025,428.6874
600.0,2857,435.933697
420.0,3393,444.946988
720.0,2545,451.327698
670.0,2697,458.143788
280.0,1529,461.94
980.0,2273,467.603368
610.0,3289,475.893169
530.0,2409,481.99058
510.0,2081,487.227455
400.0,3065,495.101798
880.0,2857,502.523863
550.0,2169,507.971638
490.0,2417,514.219145
290.0,1481,517.966357
430.0,2521,524.440647
1010.0,3081,532.256781
2400.0,3177,540.360655
730.0,2929,547.617041
920.0,2337,553.401411
470.0,1953,558.324908
540.0,3041,565.967184
420.0,2033,571.138485
590.0,3601,580.26087
1190.0,3353,588.775159
660.0,2601,595.416422
1050.0,3177,603.576162
1090.0,2705,610.389596
410.0,1729,614.626202
170.0,1857,619.237666
790.0,2529,625.605912
790.0,3585,634.747288
680.0,3601,643.834676
490.0,2801,650.979075
800.0,2337,656.839109
450.0,1969,661.857692
560.0,2377,667.898952
490.0,2657,674.59515
560.0,2329,680.336967
830.0,3161,688.278213
550.0,2249,693.859204
990.0,2833,701.018202
460.0,2225,706.519151
1130.0,2921,713.81561
710.0,2385,719.815572
950.0,2841,726.891629
1420.0,3337,735.286752
460.0,1905,740.031591
540.0,2177,745.456034
800.0,2889,752.705618
750.0,2801,759.840014
500.0,1617,763.922818
1410.0,3089,771.705261
340.0,2561,778.252734
410.0,1809,782.851223
340.0,2657,789.505558
560.0,3497,798.328975
590.0,3417,807.06732
470.0,2361,813.078927
820.0,2313,818.911965
1210.0,2921,826.353578
250.0,1689,830.634472
160.0,1849,835.353328
1070.0,2937,842.685963
360.0,2017,847.708454
400.0,2953,855.305361
560.0,2233,860.966052
740.0,3017,868.727906
330.0,1945,873.67822
280.0,1929,878.511542
610.0,2865,885.707239
270.0,1721,890.129032
290.0,2345,896.038247
510.0,2369,902.123891
360.0,2137,907.530275
310.0,1905,912.403676
470.0,2161,917.923461
650.0,2473,924.133886
680.0,2817,931.219051
350.0,2321,937.066068
430.0,1905,941.871469
750.0,2761,949.032663
480.0,2289,954.802427
490.0,2945,962.380051
690.0,3377,970.990582
820.0,3625,980.35293
850.0,2617,987.040427
780.0,2385,992.984676
560.0,2705,999.824589
350.0,1633,1003.902452
530.0,2721,1010.869354
600.0,2361,1016.909609
590.0,2817,1024.006857
220.0,1241,1027.126817
990.0,2865,1034.308203
710.0,2617,1040.99153
980.0,3225,1049.147738
820.0,2473,1055.445752
510.0,2337,1061.358006
650.0,3225,1069.62457
510.0,2273,1075.364828
970.0,3145,1083.396631
520.0,2369,1089.348122
460.0,2521,1095.69579
310.0,1681,1099.924698
1510.0,3497,1108.724322
920.0,3225,1116.920651
840.0,2433,1123.143759
130.0,1297,1126.357201
740.0,2729,1133.39524
820.0,2809,1140.649063
760.0,3121,1148.756275
630.0,3009,1156.286546
970.0,2737,1163.231886
1010.0,2737,1170.26186
380.0,1841,1175.029646
530.0,2273,1180.828149
920.0,2721,1187.721863
1370.0,3097,1195.534833
1100.0,3289,1203.798533
410.0,1961,1208.750318
370.0,2937,1216.178741
740.0,3193,1224.25822
700.0,2217,1229.84275
740.0,2289,1235.596724
880.0,3169,1243.69857
1080.0,3193,1251.801911
680.0,2233,1257.42245
560.0,1769,1261.819219
780.0,3609,1271.069283
630.0,2569,1277.530575
350.0,1553,1281.445921
1090.0,3409,1289.974461
480.0,1713,1294.317858
300.0,1513,1298.187508
240.0,1513,1301.990816
680.0,2641,1308.628408
420.0,1897,1313.473488
600.0,1921,1318.331929
630.0,2201,1323.90693
1320.0,3105,1331.822088
560.0,2497,1338.085509
510.0,2401,1344.060796
790.0,3081,1352.182608
540.0,2217,1357.798154
2810.0,4241,1368.572498
470.0,1753,1372.944771
2030.0,2785,1379.888066
550.0,1889,1384.705162
600.0,2185,1390.204515
450.0,1713,1394.525437
1310.0,3337,1402.984997
760.0,3209,1411.191812
1440.0,4177,1421.902615
700.0,2465,1428.203828
370.0,1873,1433.009918
980.0,2537,1439.316903
750.0,2265,1445.064039
1250.0,3761,1454.535799
470.0,2169,1459.948645
760.0,2865,1467.226183
370.0,2049,1472.428655
650.0,3009,1480.015324
760.0,2593,1486.542289
1280.0,3585,1495.558517
690.0,2713,1502.429646
820.0,3033,1510.141439
1060.0,2521,1516.53669
500.0,2081,1521.7817
860.0,2841,1529.045782
520.0,2001,1534.06103
780.0,2121,1539.393261
320.0,1593,1543.383511
2400.0,3257,1551.648836
1490.0,3689,1560.994701
1220.0,3025,1568.660489
860.0,2377,1574.641577
470.0,2025,1579.681938
560.0,2225,1585.281625
330.0,1313,1588.562483
360.0,1945,1593.477708
260.0,1713,1597.776637
450.0,1721,1602.136331
670.0,2417,1608.226746
1680.0,3449,1616.784828
380.0,2233,1622.448121
570.0,3505,1631.421243
480.0,2137,1636.785302
1570.0,3313,1645.129234
1160.0,2705,1652.095799
930.0,2497,1658.353292
490.0,1985,1663.390422
1030.0,2473,1669.619861
720.0,2273,1675.243906
330.0,1777,1679.68086
820.0,2929,1686.984678
760.0,2537,1693.373588
740.0,3145,1701.363425
1260.0,3329,1709.800435
880.0,2881,1717.055177
290.0,1753,1721.514269
1400.0,4033,1731.560188
360.0,1473,1735.283731
540.0,2017,1740.371843
850.0,2321,1746.315642
660.0,2561,1752.758171
620.0,1873,1757.492196
500.0,2209,1763.163073
1400.0,3297,1771.632087
710.0,2601,1778.198
1250.0,2961,1785.648917
780.0,3009,1793.194835
530.0,2049,1798.301417
170.0,1185,1801.309009
530.0,2329,1807.279804
630.0,2849,1814.395285
400.0,1977,1819.327046
310.0,1665,1823.438415
200.0,1601,1827.419919
590.0,2201,1832.917678
500.0,2025,1837.953282
980.0,2769,1844.926664
560.0,2577,1851.334032
840.0,3569,1860.498344
1960.0,2153,1865.883435
820.0,2745,1872.824746
840.0,2281,1878.662071
1020.0,3321,1887.04828
510.0,2145,1892.522083
690.0,2401,1898.542528
880.0,2425,1904.588673
280.0,1825,1909.16179
750.0,3001,1916.739073
640.0,2673,1923.500471
680.0,2033,1928.536129
1230.0,2913,1935.94802
1040.0,2625,1942.565534
660.0,2313,1948.374985
690.0,3065,1956.069848
570.0,2369,1962.111892
860.0,2537,1968.515498
760.0,2625,1975.161469
490.0,2185,1980.572501
880.0,2817,1987.649589
1500.0,3161,1995.591252
300.0,1385,1999.135781
580.0,1881,2003.891304
390.0,2785,2011.036423
930.0,2873,2018.195632
1510.0,3489,2027.144271
1040.0,2881,2034.328707
1210.0,4001,2044.515769
830.0,2513,2050.8006
910.0,2145,2056.218696
450.0,2081,2061.527679
880.0,2777,2068.626362
900.0,3001,2076.225267
630.0,2937,2083.623596
1350.0,2745,2090.533938
1030.0,3457,2099.341785
570.0,1929,2104.148796
1040.0,3097,2112.040038
1380.0,3977,2121.980816
1000.0,3441,2130.653291
2280.0,3833,2140.362146
810.0,3185,2148.479115
660.0,2313,2154.407147
620.0,2529,2160.862801
760.0,2561,2167.352177
690.0,2937,2174.826852
600.0,2041,2179.936826
910.0,2809,2187.091599
710.0,2145,2192.494758
2040.0,5521,2206.523662
1620.0,3673,2215.777686
1090.0,2681,2222.585356
970.0,3545,2234.653693
590.0,2745,2250.908642
930.0,3153,2268.460904
870.0,2857,2283.481292
1000.0,2897,2298.318163
1150.0,3113,2314.339002
1140.0,3529,2332.617529
1130.0,2521,2345.554212
1110.0,2585,2360.122609
920.0,3721,2380.523272
1460.0,2801,2394.808774
530.0,1897,2404.031686
910.0,2537,2417.607343
740.0,2985,2434.328048
540.0,2977,2450.597603
960.0,2633,2460.023137
720.0,2161,2465.990684
2280.0,2913,2474.131884
920.0,2497,2481.171495
2070.0,3233,2490.261804
870.0,2921,2498.430561
890.0,3193,2507.285101
930.0,3113,2515.884088
600.0,3033,2524.358442
1160.0,2849,2532.127253
920.0,3345,2541.46028
960.0,3673,2551.647594
550.0,2193,2557.71589
420.0,1601,2562.296821
430.0,1673,2566.819403
690.0,2361,2573.3873
1070.0,2753,2581.179441
690.0,2537,2588.173692
470.0,2097,2593.745425
790.0,3953,2605.467443
1350.0,4041,2616.858546
1000.0,3249,2625.692971
500.0,1857,2630.894188
790.0,2553,2637.809295
1870.0,2473,2644.702859
310.0,1433,2648.639752
1050.0,3393,2658.14689
1300.0,3305,2667.33611
1030.0,2361,2673.912967
830.0,3289,2682.949925
280.0,1809,2688.025164
710.0,2945,2696.309278
750.0,2441,2703.094545
1820.0,3673,2713.335601
800.0,3705,2723.725312
1380.0,2873,2731.588429
760.0,3449,2741.403922
350.0,1497,2745.414666
670.0,1969,2750.759251
1400.0,3545,2760.907623
1090.0,2977,2769.258813
390.0,1577,2773.606567
1520.0,2937,2781.653098
540.0,2081,2787.454636
670.0,2113,2793.138988
1080.0,2985,2801.405316
770.0,2945,2809.605456
1490.0,4249,2821.247047
590.0,2561,2828.422882
510.0,3321,2837.522667
960.0,3665,2847.770863
730.0,2353,2854.222802
390.0,1689,2859.154794
510.0,1809,2863.974739
1040.0,3873,2874.819962
290.0,1297,2878.327597
940.0,3281,2887.677263
600.0,2785,2895.113751
410.0,1969,2900.793802
720.0,2385,2907.642999
540.0,3017,2916.137831
710.0,3617,2926.268898
1120.0,3537,2936.0138
740.0,2601,2943.14639
450.0,2241,2949.367994
690.0,2801,2957.126696
510.0,2113,2962.933929
730.0,2537,2970.190644
1260.0,3657,2980.395633
830.0,2769,2988.033833
1220.0,3665,2998.447676
1300.0,3345,3007.701376
950.0,3009,3016.42324
2110.0,3025,3024.8024
810.0,2785,3032.449596
520.0,1817,3037.499575
1080.0,3969,3048.718033
820.0,2321,3055.108956
890.0,3137,3063.677406
690.0,3505,3073.662954
460.0,1761,3078.46519
410.0,2145,3084.382844
560.0,2529,3091.753433
1250.0,2833,3099.500667
2160.0,2857,3107.454574
330.0,1649,3112.344268
830.0,2761,3120.078508
200.0,2145,3126.020496
600.0,1905,3131.353515
880.0,3145,3139.978054
590.0,2281,3146.231938
820.0,3625,3156.363661
1050.0,3625,3166.370561
770.0,2689,3174.084235
750.0,2657,3181.301572
1080.0,3177,3190.072703
850.0,2337,3196.808693
760.0,3561,3206.614868
1250.0,2417,3213.440966
1110.0,3033,3221.82151
1890.0,4401,3234.277761
620.0,2105,3240.192596
110.0,2113,3245.989012
930.0,2881,3253.919619
1130.0,3209,3263.019763
600.0,1913,3268.369482
510.0,1881,3273.550052
950.0,3129,3282.546389
480.0,1913,3287.799533
1130.0,2585,3294.78094
1120.0,2649,3302.247788
470.0,2793,3309.980375
820.0,2777,3317.645917
1730.0,4217,3329.662853
1020.0,2841,3337.53357
840.0,2313,3344.332756
680.0,2057,3350.129786
760.0,2449,3356.986651
460.0,2577,3364.153322
420.0,1865,3369.25754
980.0,2497,3376.531032
450.0,1697,3381.268347
1470.0,2689,3388.735023
2070.0,3169,3397.870649
720.0,2041,3403.382944
1210.0,2977,3411.727575
1050.0,2889,3419.980105
960.0,3105,3428.610016
430.0,2129,3434.380994
870.0,2713,3441.99875
420.0,1825,3447.119313
440.0,1977,3452.625162
1550.0,4225,3464.388093
410.0,2033,3470.181064
290.0,1801,3475.158887
590.0,1977,3480.57096
1560.0,2817,3488.597173
350.0,1505,3492.763129
860.0,2809,3500.518092
320.0,1817,3505.523129
1160.0,3481,3515.388642
430.0,2001,3521.036931
2060.0,3521,3530.724092
790.0,3001,3539.321038
750.0,2585,3546.382849
1100.0,2649,3553.641183
450.0,1825,3558.958036
690.0,2913,3567.222295
310.0,1617,3571.616169
1520.0,3721,3582.02171
1370.0,3529,3592.081681
1470.0,3161,3600.681133
770.0,2345,3607.470666
880.0,3065,3616.03633
1060.0,3153,3624.696359
580.0,1937,3630.324106
630.0,2025,3635.996665
920.0,2873,3643.850177
470.0,2001,3649.272327
490.0,1689,3654.142686
1260.0,2777,3662.280103
440.0,1553,3666.537166
720.0,2817,3674.387908
1090.0,2401,3681.13485
540.0,2473,3687.987474
600.0,1873,3693.409769
540.0,1649,3697.928478
770.0,2073,3703.631867
1160.0,2353,3710.06326
650.0,2601,3717.401914
1680.0,3825,3727.989671
550.0,2257,3734.120029
540.0,2713,3741.822195
720.0,2673,3749.354761
270.0,1273,3752.742234
1370.0,2785,3760.710721
840.0,3633,3770.824727
250.0,1777,3775.618934
480.0,2041,3781.591764
1620.0,3217,3790.673146
1890.0,4657,3803.93606
300.0,1497,3808.000208
500.0,2105,3813.736877
690.0,2249,3819.953004
480.0,3185,3829.281566
520.0,2681,3836.64708
1030.0,3369,3846.256294
330.0,1769,3851.126317
880.0,2609,3858.321679
950.0,2393,3865.220218
630.0,2209,3871.415858
600.0,2073,3877.110683
390.0,3465,3886.711718
230.0,1513,3891.063361
890.0,3337,3900.302082
630.0,2569,3907.399062
870.0,2849,3915.581194
1160.0,2713,3922.996158
470.0,1873,3928.524098
580.0,2217,3934.562405
460.0,2089,3940.586138
1060.0,3617,3950.650355
1240.0,3457,3960.601756
1630.0,2569,3968.064303
1450.0,4841,3981.616026
750.0,3185,3990.892877
1750.0,4065,4002.058946
560.0,2505,4009.267412
620.0,3377,4018.610593
910.0,2785,4026.683427
500.0,2969,4034.96227
540.0,1857,4040.039865
1050.0,2969,4048.665983
1190.0,3713,4059.115564
