#{"t_start": 1745003421.6582704, "env_id": "MsPacmanNoFrameskip-v4"}
r,l,t
530.0,2177,18.404469
290.0,2289,24.419772
390.0,2225,30.111942
260.0,1657,34.202269
330.0,2257,39.992372
410.0,1905,44.803435
310.0,2953,52.316058
280.0,1513,56.094487
310.0,2169,61.585507
560.0,3273,69.839198
760.0,2161,75.344937
370.0,1865,80.048482
390.0,1721,84.293283
1000.0,2729,91.283529
440.0,2185,96.784988
350.0,2609,103.508116
2810.0,3801,113.468831
240.0,1905,118.199912
210.0,2025,123.20171
630.0,3057,130.7352
1070.0,2777,137.751515
1810.0,2785,144.793495
510.0,2097,150.034625
480.0,2753,156.929399
270.0,2257,162.585151
830.0,2513,168.818356
700.0,2881,176.067579
100.0,1809,180.629034
350.0,1889,185.36044
940.0,2681,191.996124
400.0,2577,198.483367
690.0,3233,206.583472
390.0,2345,212.454909
870.0,3785,222.100221
470.0,2489,228.365496
300.0,1897,233.088453
860.0,3241,241.171738
160.0,1585,245.143033
470.0,2313,251.003917
810.0,2937,258.381687
1370.0,3921,268.121483
1320.0,2913,275.604824
550.0,2745,282.511055
340.0,2593,289.10038
330.0,2161,294.523358
380.0,1865,299.212291
550.0,2505,305.595601
1270.0,2665,312.390455
600.0,2601,318.859933
890.0,2609,325.426744
390.0,2057,330.536895
420.0,1937,335.361733
650.0,3793,345.012071
870.0,3137,353.1311
750.0,2769,360.260269
450.0,1801,364.818683
290.0,1385,368.264482
300.0,2041,373.472167
560.0,3177,381.582549
900.0,2409,387.596414
330.0,2025,392.786088
960.0,2777,399.841688
660.0,2489,406.114611
360.0,1825,410.794368
300.0,1569,414.751215
280.0,2097,420.023477
570.0,2177,425.506746
1130.0,3353,434.056261
200.0,1337,437.481058
540.0,1697,441.990289
410.0,1593,446.13764
400.0,1857,450.761371
260.0,1281,453.937107
550.0,1953,458.852259
800.0,2513,465.154132
710.0,2305,470.975177
520.0,2641,477.649487
350.0,2441,483.910839
430.0,2705,490.661373
1870.0,4521,502.549835
720.0,2689,509.362158
230.0,1745,513.800528
1000.0,3169,521.90672
470.0,2697,528.729686
800.0,2337,534.627956
490.0,2081,539.935755
610.0,2105,545.191303
580.0,2633,551.734962
260.0,1441,555.312308
490.0,1929,560.157748
