#{"t_start": 1744843828.1221945, "env_id": "MsPacmanNoFrameskip-v4"}
r,l,t
610.0,2201,555.98574
580.0,2673,558.318741
380.0,1609,559.770739
470.0,2097,561.219738
440.0,2065,563.077741
660.0,2409,564.809739
560.0,3897,567.82274
680.0,2513,569.835738
440.0,1977,571.12474
1910.0,2497,573.401739
580.0,2841,575.252739
2050.0,3009,577.697739
1070.0,3665,580.665622
480.0,3233,583.386623
650.0,2321,584.980623
650.0,2305,587.076626
540.0,1953,588.542622
1860.0,3193,591.634624
880.0,3833,594.705623
910.0,2169,596.677623
920.0,2681,598.698623
650.0,2105,600.497622
620.0,2977,602.850623
410.0,1497,603.878623
540.0,1753,605.036623
640.0,3201,607.558625
560.0,2321,609.648624
1450.0,3881,613.386623
420.0,1737,614.681935
770.0,2265,616.66996
560.0,1977,618.1964
450.0,1729,619.5744
630.0,2585,621.688401
360.0,2289,623.5724
680.0,2465,625.279407
740.0,2729,627.495402
210.0,1529,628.8454
580.0,2281,630.9004
390.0,1529,631.9324
800.0,2849,634.3494
690.0,2681,636.2704
620.0,2385,638.5034
310.0,1449,639.507401
510.0,2393,641.563401
780.0,2593,643.831399
1680.0,2017,645.5594
620.0,2257,647.6404
280.0,1577,648.6934
760.0,2801,650.8744
290.0,1433,651.8754
510.0,1681,653.086455
770.0,2833,655.434399
940.0,2321,657.3964
320.0,1329,658.2984
650.0,2881,660.603401
210.0,1633,661.6954
630.0,2457,663.90132
1120.0,3449,666.86432
630.0,2457,668.752321
480.0,2617,671.337322
550.0,2321,673.324319
790.0,2201,675.673319
540.0,1937,677.239319
720.0,3377,680.334322
670.0,2449,682.587319
630.0,2505,684.53932
2010.0,2457,686.70332
600.0,2633,689.400319
950.0,3561,692.077321
780.0,2537,694.250319
1190.0,3793,697.36932
370.0,1761,698.852319
490.0,1937,700.72032
450.0,1825,701.976322
630.0,2009,703.721319
630.0,3009,706.14632
660.0,2417,708.061322
820.0,2417,710.303319
520.0,2393,712.109322
630.0,2361,714.307319
580.0,2313,716.115319
490.0,2169,718.06032
640.0,2609,720.251319
900.0,2489,722.007322
500.0,2561,724.178321
640.0,2377,725.913321
1280.0,3305,728.91832
1020.0,2385,731.164319
1190.0,3737,734.308319
690.0,2393,736.09432
660.0,2321,738.123319
1020.0,2481,740.01132
440.0,2633,742.34532
280.0,1249,743.149319
920.0,2993,745.938319
1110.0,2809,748.772319
1110.0,2625,750.951319
510.0,1969,753.059322
1210.0,2809,755.85632
580.0,2321,757.73232
370.0,2201,759.63132
280.0,1417,760.68932
1180.0,2849,763.243321
670.0,2841,765.224319
520.0,2545,767.473319
1330.0,2793,770.202321
1020.0,2937,772.507884
320.0,1953,774.272113
330.0,1753,775.597112
820.0,2129,777.445115
890.0,2657,779.453112
500.0,1937,781.119112
1130.0,2497,782.929112
210.0,1177,784.047116
400.0,1825,785.262112
700.0,2129,787.193114
380.0,2121,788.638114
670.0,2505,791.132112
1610.0,3497,794.155112
240.0,1425,795.120113
460.0,1649,796.213113
550.0,2361,798.138114
480.0,1857,799.521112
650.0,2305,801.574112
540.0,2081,803.485112
510.0,2033,804.946164
500.0,1633,806.109116
410.0,2497,808.200114
1070.0,3193,811.106112
450.0,2705,813.382112
640.0,3505,816.427115
490.0,1817,818.198114
650.0,2257,819.970113
460.0,2521,822.283922
890.0,2785,824.633921
2700.0,3369,826.924922
1140.0,2369,829.101922
520.0,1817,830.414921
1130.0,3233,833.151922
380.0,2073,834.974924
620.0,2817,836.842922
530.0,1753,838.453922
320.0,2273,840.259923
590.0,2825,842.623922
580.0,2145,844.462925
460.0,2033,845.844922
290.0,1305,846.873921
210.0,1185,848.279921
450.0,1649,849.820921
560.0,2569,852.241923
450.0,1793,853.554921
210.0,1177,854.353922
530.0,2129,856.303921
460.0,1865,857.607924
580.0,2489,859.652921
220.0,1537,860.940921
230.0,1201,862.154922
290.0,1633,863.265993
360.0,1745,864.434922
540.0,1993,866.112924
420.0,2105,867.556924
600.0,3129,870.506921
470.0,2689,873.155921
1090.0,2673,875.191925
740.0,2529,877.353969
470.0,1945,879.223921
400.0,1625,880.529922
520.0,2489,882.925921
1790.0,2305,884.857924
380.0,1961,886.761924
870.0,2801,888.926587
360.0,1425,890.286587
240.0,1241,891.197588
820.0,2385,893.280586
450.0,1889,895.165586
480.0,1993,896.738586
600.0,2161,898.747589
820.0,2585,900.864587
960.0,2777,902.764587
380.0,2081,904.463587
400.0,1969,905.841589
410.0,2241,907.761588
660.0,2401,909.343588
1010.0,3145,912.062823
420.0,1817,913.381823
330.0,1489,914.727826
620.0,2641,916.937824
480.0,2081,918.871825
430.0,2169,920.700823
400.0,1825,922.135823
470.0,2521,924.507826
690.0,2281,926.378823
420.0,1649,928.059823
500.0,1881,929.314823
560.0,2097,930.767823
780.0,2649,933.148164
320.0,1689,934.720115
