#{"t_start": 1745049255.1946304, "env_id": "MsPacmanNoFrameskip-v4"}
r,l,t
530.0,1825,1182.662991
410.0,2017,1187.260696
250.0,1377,1190.375566
320.0,1649,1194.126546
590.0,2505,1199.791289
400.0,1873,1204.006771
660.0,2369,1209.540107
610.0,2801,1216.105781
870.0,3769,1225.117432
260.0,1257,1228.140234
480.0,1745,1232.257443
260.0,1577,1236.05355
590.0,2601,1242.202312
420.0,2177,1247.451399
1970.0,2681,1253.926275
370.0,1713,1258.02265
480.0,1905,1262.553106
430.0,1705,1266.59988
430.0,1873,1271.033122
650.0,2833,1277.749642
420.0,2849,1284.492381
420.0,1641,1288.430796
380.0,1785,1292.66253
480.0,1937,1297.391203
660.0,2521,1303.422157
580.0,2169,1310.0117
300.0,1569,1313.818879
740.0,2465,1319.677155
510.0,2009,1324.450474
740.0,2505,1330.363263
720.0,3817,1339.402817
380.0,1609,1343.243579
610.0,3201,1350.824371
820.0,2465,1356.838346
660.0,2281,1362.354637
870.0,2553,1368.403996
220.0,1305,1371.453435
860.0,3177,1379.000116
430.0,1865,1383.460644
680.0,1921,1388.025021
250.0,1521,1391.584218
1530.0,3913,1400.783109
450.0,1993,1405.4922
490.0,1921,1410.084389
1070.0,4865,1421.588286
320.0,2065,1426.446461
280.0,1953,1431.082093
310.0,1649,1434.963152
740.0,3153,1442.482959
910.0,2553,1448.612068
530.0,2505,1454.54219
610.0,2153,1459.725849
270.0,1745,1463.908716
400.0,1713,1467.957419
140.0,1113,1470.683891
570.0,2897,1477.656152
390.0,1785,1481.722143
130.0,1265,1484.52546
610.0,3001,1491.406927
320.0,1617,1495.085488
1410.0,2625,1501.053261
360.0,2073,1505.737303
520.0,1777,1509.792797
200.0,1873,1514.001373
2160.0,3257,1521.361754
350.0,1577,1525.083424
2050.0,2825,1531.749161
1320.0,2761,1538.416284
580.0,2297,1543.832207
340.0,2041,1548.6988
430.0,2049,1553.615117
440.0,1761,1557.799024
200.0,1425,1561.162001
420.0,2193,1566.390229
530.0,1993,1571.100424
550.0,2945,1578.159496
520.0,1865,1582.595131
320.0,1665,1586.541716
500.0,2097,1591.467803
1320.0,4449,1602.308862
430.0,2697,1608.606779
490.0,1689,1612.514332
1010.0,2425,1617.987634
300.0,1953,1622.42912
410.0,1921,1626.73465
340.0,1689,1630.552542
700.0,2193,1635.571517
890.0,3609,1643.754435
770.0,2545,1649.567945
520.0,1993,1654.134378
960.0,3025,1661.066612
270.0,1809,1665.247432
