#{"t_start": 1745049255.277664, "env_id": "MsPacmanNoFrameskip-v4"}
r,l,t
240.0,1841,2.823013
200.0,1849,4.87122
250.0,1897,6.767059
330.0,2577,9.334132
360.0,1929,11.315797
1790.0,2857,14.131094
210.0,2049,16.181138
290.0,2529,18.698802
190.0,1865,20.565412
160.0,1665,22.221631
150.0,1633,23.828427
320.0,2161,25.962554
130.0,1657,27.614863
390.0,2657,30.233569
260.0,2257,32.428941
290.0,2129,34.528745
280.0,1737,36.245148
260.0,2297,38.49575
360.0,1857,40.336022
180.0,1937,42.245739
240.0,1857,44.131695
260.0,1793,45.927058
270.0,1785,47.697669
170.0,2169,49.811487
210.0,1841,52.022264
450.0,2169,55.842597
180.0,1793,59.06104
240.0,1857,62.377976
130.0,1705,65.467586
200.0,1729,68.608698
580.0,3169,74.340523
270.0,2209,78.272723
250.0,1753,81.489098
210.0,1841,84.839994
240.0,2065,88.65805
280.0,2113,92.461419
240.0,2113,96.405811
260.0,1873,99.838119
180.0,1625,102.821619
380.0,2137,106.686219
300.0,1873,110.15385
160.0,2033,113.969433
300.0,1841,117.302458
290.0,1665,120.311706
340.0,1881,123.767019
240.0,2017,127.516443
290.0,1929,131.032527
320.0,2209,135.120487
180.0,1649,138.231828
820.0,3841,145.498821
230.0,2001,149.223564
290.0,2129,153.279749
240.0,1969,156.908787
510.0,2601,161.685632
330.0,2193,165.761273
860.0,2921,171.26089
420.0,2001,175.111331
250.0,1761,178.429092
390.0,2233,182.626106
310.0,2057,186.543256
220.0,1977,190.280947
370.0,2321,194.690894
240.0,1961,198.519923
240.0,2097,202.488253
220.0,1609,205.608102
250.0,2113,209.622289
240.0,1945,213.340846
230.0,1609,216.470279
530.0,3065,222.405262
790.0,2977,228.161409
340.0,1913,231.852829
390.0,2105,235.902104
550.0,2681,240.984658
430.0,1993,244.868895
550.0,2697,250.145465
610.0,3025,256.066088
350.0,2161,260.29886
440.0,2649,265.433369
280.0,1745,268.764411
340.0,1969,272.519874
240.0,1777,275.963376
390.0,2025,279.880901
710.0,2697,285.214195
640.0,2841,290.753942
480.0,2049,294.860453
260.0,1729,298.214261
270.0,1825,301.726774
340.0,1721,305.142948
210.0,1825,308.725883
310.0,2057,312.814865
260.0,1649,316.074847
490.0,2193,320.340824
260.0,1561,323.390645
370.0,1697,326.872127
1020.0,2265,331.566276
230.0,1537,334.692551
830.0,3193,341.423897
900.0,3353,348.488742
380.0,1953,352.520129
240.0,1945,356.749474
380.0,2081,361.153659
240.0,1737,364.869936
360.0,2057,369.187095
270.0,1553,372.443178
320.0,1825,376.267049
160.0,1345,379.080293
860.0,3025,385.547737
760.0,2601,390.872433
560.0,3025,397.051114
1340.0,2897,403.112268
350.0,1809,406.80116
310.0,1977,411.127103
450.0,1921,415.804013
550.0,2505,420.840295
370.0,2073,424.991271
470.0,2233,429.658087
720.0,2833,435.543936
1310.0,3833,443.674788
