#{"t_start": 1745049255.0967221, "env_id": "MsPacmanNoFrameskip-v4"}
r,l,t
150.0,1601,2.699368
270.0,2273,5.266766
340.0,1777,7.02746
320.0,2081,9.09922
200.0,1561,10.664237
260.0,1977,12.627681
200.0,1961,14.583955
210.0,2145,16.678788
180.0,1737,18.397496
240.0,2409,20.829857
150.0,1649,22.464783
250.0,1993,24.42767
220.0,2137,26.533761
210.0,2177,28.691031
290.0,2201,30.843713
420.0,2681,33.488459
130.0,1705,35.16205
240.0,1833,36.959362
280.0,1977,38.892561
270.0,2081,40.943401
210.0,1857,42.793389
180.0,1801,44.625038
150.0,1633,46.28375
260.0,1793,48.042547
200.0,1529,49.539551
170.0,1793,51.292084
230.0,2025,54.841724
260.0,2385,59.107118
240.0,2153,62.992384
240.0,2089,66.741935
190.0,1857,70.070532
610.0,3081,75.650812
290.0,2345,79.934192
230.0,2121,83.790369
160.0,1561,86.689041
260.0,1793,89.906389
180.0,1657,92.888919
670.0,2913,98.368062
320.0,2225,102.462495
300.0,2193,106.433554
200.0,2209,110.570812
250.0,1865,114.026884
250.0,1721,117.126379
180.0,1737,120.231812
320.0,1777,123.531424
240.0,2041,127.252645
330.0,2321,131.563497
220.0,1753,134.80557
210.0,1873,138.316161
340.0,1977,142.101432
300.0,1817,145.445096
290.0,2177,149.505453
340.0,2017,153.344065
790.0,4049,160.830021
500.0,3081,166.558988
300.0,1985,170.244692
420.0,2593,175.207755
350.0,1897,178.791989
250.0,1969,182.448254
230.0,1913,186.090191
240.0,2169,190.261213
430.0,2353,194.771242
410.0,3113,200.830355
200.0,1913,204.522636
270.0,2105,208.52131
1190.0,2433,213.147845
760.0,3601,220.219775
300.0,2065,224.119418
400.0,2705,229.339663
350.0,1953,233.108114
300.0,1969,236.853624
370.0,2705,242.021468
420.0,2297,246.516062
230.0,1537,249.448381
370.0,2465,254.299538
340.0,2193,258.564941
320.0,1945,262.393555
190.0,1705,265.681273
1030.0,2497,270.445078
390.0,2929,276.1095
380.0,2481,280.932571
440.0,2281,285.426524
790.0,2905,291.093782
300.0,1873,294.808571
400.0,2057,298.824777
430.0,1985,302.693087
360.0,2049,306.74027
530.0,2385,311.423079
320.0,1921,315.272408
260.0,1657,318.422181
290.0,1761,321.888464
410.0,2033,325.971315
490.0,2393,330.954252
470.0,2401,336.005536
370.0,1833,339.806548
360.0,2049,344.151514
190.0,1633,347.590209
210.0,1481,350.662605
290.0,2169,355.217466
290.0,1705,358.891181
290.0,1721,362.551228
1110.0,2993,368.840804
440.0,1841,372.801317
820.0,3177,379.547414
460.0,2753,385.382449
340.0,2105,389.74749
370.0,1953,393.698662
370.0,1785,397.378597
340.0,1649,400.844556
550.0,2577,406.058013
490.0,2185,410.591554
720.0,2449,416.592627
480.0,2617,421.841687
470.0,1833,425.558005
360.0,2529,430.810253
410.0,2305,435.575512
400.0,2137,440.106346
570.0,2129,444.545929
510.0,2849,450.509287
480.0,2161,454.970863
510.0,2873,460.920094
1280.0,3969,469.146763
1010.0,2593,474.569623
550.0,2225,479.138191
450.0,2697,484.834936
290.0,1841,488.703081
650.0,2697,494.359654
350.0,1769,498.024251
410.0,1945,502.097982
380.0,2057,506.454566
1460.0,3681,514.24849
380.0,1617,517.582287
380.0,2033,521.860333
780.0,2665,527.427866
560.0,2409,532.455307
310.0,1497,535.560105
450.0,1945,539.698923
1320.0,3601,547.462015
930.0,3041,554.008268
600.0,2393,559.15698
670.0,2929,565.490098
610.0,2009,569.783492
1200.0,4329,579.190709
1070.0,2537,584.612745
240.0,1441,587.724754
350.0,1913,592.019052
1540.0,3585,600.02308
190.0,1425,603.24503
420.0,1721,607.235726
340.0,1969,611.76645
400.0,2281,617.132786
700.0,2257,622.635929
350.0,1945,627.468793
460.0,2393,633.030525
1140.0,2713,639.247851
910.0,3145,646.628725
970.0,2401,652.118604
560.0,2521,657.976802
350.0,1769,661.989774
280.0,1745,666.045151
380.0,1889,670.310506
620.0,3185,677.586778
650.0,3017,684.540483
550.0,2361,689.973111
540.0,2089,694.808987
890.0,3393,702.707304
900.0,2641,708.791034
350.0,1513,712.255275
320.0,1721,716.147108
1290.0,2929,722.768707
910.0,2697,728.910657
420.0,1593,732.500188
990.0,3089,739.493322
390.0,1641,743.191002
1050.0,2505,748.798714
430.0,1921,753.180773
360.0,2241,758.476945
1120.0,2417,764.113383
1140.0,3089,771.514762
830.0,2857,778.278259
660.0,3105,785.65627
430.0,1873,790.15983
450.0,1913,794.695219
850.0,2665,800.986095
320.0,1617,804.816087
350.0,2017,809.507374
580.0,2937,816.22413
250.0,1617,820.023994
430.0,1681,823.956375
290.0,1569,827.639414
730.0,2649,833.937924
1210.0,3153,841.35503
400.0,1585,845.092285
430.0,1985,849.793955
670.0,2489,855.71809
520.0,2465,861.827815
430.0,1833,866.38316
300.0,1281,869.499482
360.0,1529,873.083883
340.0,1857,877.628448
490.0,1929,882.266351
540.0,2649,888.547088
560.0,2753,895.119799
220.0,1441,898.544332
310.0,1577,902.244968
910.0,3249,909.910527
240.0,2065,914.64451
440.0,2049,919.229473
800.0,2529,924.985463
1050.0,3689,933.308148
1510.0,3521,941.357782
360.0,1497,944.77977
680.0,2265,949.982574
250.0,1761,954.023116
120.0,1249,956.888148
480.0,2833,963.404784
400.0,1889,967.853299
580.0,2537,973.852492
340.0,1937,978.439425
450.0,2137,983.539159
590.0,2481,989.49256
800.0,3185,997.083771
190.0,2049,1002.030333
570.0,2673,1008.474997
270.0,1609,1012.304559
280.0,1857,1016.749808
880.0,2473,1022.613928
600.0,2633,1028.811844
280.0,1721,1032.961481
320.0,1793,1037.263265
420.0,1657,1041.246207
500.0,1833,1045.646381
250.0,1313,1048.787012
360.0,2337,1054.418741
500.0,2177,1059.574111
2150.0,3009,1066.684605
440.0,1905,1071.351691
630.0,2817,1078.088904
430.0,1857,1082.43808
1490.0,4009,1092.020265
630.0,2313,1097.457778
480.0,1865,1102.040776
360.0,2145,1107.08758
1720.0,4857,1118.586757
1340.0,2961,1125.623772
1000.0,2785,1132.200693
280.0,1473,1135.697863
860.0,2497,1141.646926
660.0,2473,1147.412591
730.0,2961,1154.499887
350.0,1729,1158.573807
850.0,2841,1165.359662
730.0,2601,1171.627842
150.0,1449,1175.046242
240.0,1497,1178.525158
320.0,1585,1182.107914
900.0,3209,1189.4571
290.0,1873,1193.774955
530.0,2673,1199.822507
950.0,2617,1205.775573
600.0,3617,1214.270595
420.0,2081,1219.205411
520.0,1833,1223.608492
1530.0,3097,1230.978799
380.0,1897,1235.447953
520.0,2121,1240.483722
1230.0,3337,1248.532648
750.0,2761,1255.165607
650.0,2201,1260.447381
830.0,2705,1266.932657
1400.0,2697,1273.348294
270.0,1425,1276.664436
520.0,2241,1281.928264
100.0,1217,1284.83781
250.0,1497,1288.410657
200.0,1177,1291.162695
240.0,1953,1295.8777
340.0,2065,1300.801647
540.0,1993,1305.528293
640.0,2529,1313.003345
290.0,1433,1316.408733
810.0,3313,1324.307693
1080.0,3353,1332.257316
860.0,2353,1337.773515
810.0,2289,1343.242975
400.0,1841,1347.606672
580.0,2873,1354.520657
260.0,1425,1357.953423
580.0,1945,1362.649211
410.0,1865,1367.084972
590.0,2497,1372.901274
600.0,2433,1378.670113
580.0,2505,1384.643836
420.0,1825,1388.965867
400.0,2489,1394.907291
2950.0,4065,1404.515948
280.0,1913,1409.098789
1050.0,2233,1414.312522
450.0,2225,1419.58313
380.0,1529,1423.231155
810.0,3593,1431.792044
770.0,2921,1438.742704
530.0,1745,1442.8784
960.0,3065,1450.176273
780.0,3097,1457.54359
250.0,1313,1460.704128
690.0,2401,1466.406152
590.0,2009,1471.307925
170.0,1505,1474.888039
290.0,1457,1478.387625
670.0,2689,1484.453153
510.0,2137,1489.285745
780.0,2425,1494.884454
610.0,2265,1500.070472
870.0,2345,1505.354028
430.0,2561,1511.20595
300.0,1713,1515.014244
1270.0,2729,1521.158404
380.0,1881,1525.633978
810.0,2953,1532.565774
400.0,1561,1536.382555
460.0,3689,1545.17329
620.0,2273,1550.644567
1270.0,2849,1557.442953
570.0,2849,1564.241355
730.0,2761,1570.808676
630.0,2993,1578.024226
360.0,1457,1581.473969
510.0,2489,1587.442166
550.0,2129,1592.46257
310.0,1777,1596.81003
360.0,2129,1601.954304
340.0,1561,1605.653753
690.0,2105,1610.503201
410.0,1953,1614.93211
540.0,1897,1619.178621
400.0,2177,1624.05128
790.0,2305,1629.266219
280.0,1585,1632.850099
430.0,1825,1636.999878
520.0,2321,1642.23325
310.0,1641,1645.965125
480.0,2577,1651.905465
640.0,2577,1657.699325
330.0,1513,1661.17858
1090.0,2913,1667.868974
1140.0,4137,1677.310958
860.0,2977,1684.110071
490.0,1761,1688.083228
270.0,1729,1692.011358
690.0,2353,1697.243971
640.0,2297,1702.593434
720.0,2113,1707.672255
600.0,2641,1713.972956
230.0,1601,1717.841654
370.0,1833,1722.241342
270.0,1361,1725.487985
650.0,3441,1733.703822
380.0,1585,1737.501347
640.0,2217,1742.75271
410.0,1825,1747.023548
330.0,2513,1752.90885
430.0,1665,1756.783925
